Date,Open,High,Low,Close
12/04/2024,"21,361.81","21,498.44","21,340.84","21,492.36"
12/03/2024,"21,106.51","21,235.79","21,081.81","21,229.32"
12/02/2024,"20,971.76","21,201.03","20,971.76","21,164.60"
11/29/2024,"20,771.02","20,956.31","20,751.97","20,930.37"
11/27/2024,"20,852.43","20,853.08","20,615.42","20,744.49"
11/26/2024,"20,871.55","20,944.90","20,832.40","20,922.90"
11/25/2024,"20,918.76","20,998.48","20,712.38","20,804.89"
11/22/2024,"20,737.49","20,797.24","20,655.72","20,776.23"
11/21/2024,"20,775.27","20,814.93","20,436.80","20,740.78"
11/20/2024,"20,660.84","20,676.57","20,402.55","20,667.10"
11/19/2024,"20,435.68","20,696.47","20,423.30","20,684.59"
11/18/2024,"20,450.21","20,622.28","20,401.26","20,539.19"
11/15/2024,"20,679.98","20,684.56","20,315.08","20,394.13"
11/14/2024,"21,052.07","21,067.66","20,864.02","20,896.67"
11/13/2024,"21,049.66","21,154.94","20,955.24","21,036.16"
11/12/2024,"21,105.49","21,144.67","20,946.74","21,070.79"
11/11/2024,"21,171.24","21,182.03","20,993.48","21,106.59"
11/08/2024,"21,083.58","21,155.00","21,050.32","21,117.18"
11/07/2024,"20,896.41","21,132.80","20,896.41","21,101.57"
11/06/2024,"20,571.30","20,807.04","20,526.64","20,781.33"
11/05/2024,"20,042.93","20,249.21","20,042.93","20,227.46"
11/04/2024,"20,011.55","20,106.99","19,898.57","19,963.60"
11/01/2024,"19,955.83","20,162.54","19,950.99","20,033.14"
10/31/2024,"20,227.19","20,227.19","19,880.26","19,890.42"
10/30/2024,"20,510.92","20,559.52","20,378.75","20,387.70"
10/29/2024,"20,369.08","20,600.10","20,294.58","20,550.65"
10/28/2024,"20,455.01","20,470.43","20,344.82","20,351.07"
10/25/2024,"20,354.91","20,552.82","20,322.25","20,352.02"
10/24/2024,"20,197.62","20,256.38","20,116.89","20,232.87"
10/23/2024,"20,303.55","20,312.78","19,934.92","20,066.96"
10/22/2024,"20,256.97","20,437.93","20,218.85","20,383.65"
10/21/2024,"20,280.49","20,386.68","20,193.03","20,361.47"
10/18/2024,"20,288.48","20,360.29","20,273.55","20,324.04"
10/17/2024,"20,375.29","20,377.65","20,186.43","20,190.42"
10/16/2024,"20,172.87","20,200.59","20,036.73","20,174.05"
10/15/2024,"20,442.77","20,484.31","20,083.56","20,159.83"
10/14/2024,"20,366.06","20,493.90","20,355.06","20,439.05"
10/11/2024,"20,154.84","20,313.20","20,142.18","20,271.97"
10/10/2024,"20,165.25","20,314.24","20,117.20","20,241.76"
10/09/2024,"20,097.56","20,284.42","20,047.86","20,268.86"
10/08/2024,"19,902.22","20,132.67","19,881.08","20,107.78"
10/07/2024,"19,954.66","19,990.12","19,763.04","19,800.74"
10/04/2024,"20,025.16","20,045.69","19,829.49","20,035.02"
10/03/2024,"19,712.33","19,902.70","19,688.22","19,793.34"
10/02/2024,"19,725.95","19,876.70","19,630.91","19,802.58"
10/01/2024,"20,046.06","20,056.20","19,622.30","19,773.30"
09/30/2024,"19,959.26","20,072.43","19,852.85","20,060.69"
09/27/2024,"20,147.28","20,152.53","19,964.13","20,008.62"
09/26/2024,"20,273.30","20,273.30","19,966.99","20,115.54"
09/25/2024,"19,922.28","20,043.43","19,921.22","19,972.61"
09/24/2024,"19,917.56","19,984.47","19,739.67","19,944.84"
09/23/2024,"19,848.71","19,892.78","19,797.82","19,852.20"
09/20/2024,"19,816.29","19,845.70","19,632.73","19,791.49"
09/19/2024,"19,798.71","19,951.79","19,723.94","19,839.83"
09/18/2024,"19,478.51","19,643.51","19,330.81","19,344.49"
09/17/2024,"19,539.75","19,596.34","19,337.12","19,432.40"
09/16/2024,"19,412.79","19,446.06","19,294.18","19,423.06"
09/13/2024,"19,396.10","19,556.80","19,384.69","19,514.58"
09/12/2024,"19,236.42","19,456.41","19,166.80","19,423.07"
09/11/2024,"18,866.00","19,266.39","18,531.58","19,237.30"
09/10/2024,"18,722.15","18,845.74","18,570.67","18,829.14"
09/09/2024,"18,579.81","18,693.86","18,469.40","18,660.78"
09/06/2024,"18,903.03","18,930.77","18,400.97","18,421.31"
09/05/2024,"18,864.42","19,102.36","18,806.83","18,930.33"
